Variable,region,sex,age,edu,job,pol_int,sys1,sys2,sys3,sys4,sys5,sys6,sys7,sys8,POP1,POP2,POP3,POP4,POP5,POP6,dw1,dw2,dw3,dw4,dw5,dw6,dw7,dw8,dw9,dw10,cj1,cj2,cj3,cj4,cj5,cj6,cj7,cj8,cj9,cj10,ANTI1,ANTI2,ANTI3,SOV1,SOV2,HOM1,HOM2,HOM3,HOM4,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,rwa3,rwa7,rwa9,rwa13,rwa14,rwa12,rwa16,rwa17,rwa19,rwa22,pol_or_1,pol_or_2,vote_2018,vote_int,vote_eu_2014,cb1,cb2,cb3,cb4,cb5,cb6,cb7,cb8,cb9,cb10,cb11,cb12,cb13,cb14,anti_imm_anes
Label,Geographical area of residence,,,Educational level,Job Position,You are interested in Politic...,"In general, I think that our society is fair.","In general, the political system works as it should.",The Italian society must be radically changed.,Italy is the best place to live.,Most political decisions pursue the common good.,In our society everyone has the opportunity to achieve economic well-being and happiness.,Our society gets worse year by year.,Our society is organized so that people generally get what they deserve.,The politicians in the Italian Parliament need to follow the will of the people.,"The people, not the politicians, should make the most important political decisions.",The political differences between the elite and the people are larger than the differences among the people.,I would rather be represented by an ordinary citizen than by a professional politician.,Elected officials talk too much and take too little action.,What people call ?compromise? in politics is really just selling out on one?s principles.,"Although it may appear that things are constantly getting more dangerous and chaotic, it really isn?t so. Every era has its problems, and a person?s chances of living a safe, untroubled life are better today than ever before.",Any day now chaos and anarchy could erupt around us. All the signs are pointing to it.,"There are many dangerous people in our society who will attack someone out of pure meanness, for no reason at all.","Despite what one hears about ?crime in the street,? there probably isn?t any more now than there ever has been.","If a person takes a few sensible precautions, nothing bad is likely to happen to him or her; we do not live in a dangerous world.","Every day as society become more lawless and bestial, a person?s chances of being robbed, assaulted, and even murdered go up and up.","My knowledge and experience tells me that the social world we live in is basically a safe, stable and secure place in which most people are fundamentally good.","It seems that every year there are fewer and fewer truly respectable people, and more and more persons with no morals at all who threaten everyone else.","The ?end? is not near. People who think that earthquakes, wars, and famines mean God might be about to destroy the world are being foolish.","My knowledge and experience tells me that the social world we live in is basically a dangerous and unpredictable place, in which good, decent and moral people?s values and way of life are threatened and disrupted by bad people.","If one has power in a situation, one should use it however one has to in order to get one?s way.","If it?s necessary to be cold blooded and vengeful to reach one?s goals, then one should do it.",It is much more important in life to have integrity in your dealings with others than to have money and power.,It?s a dog-eat-dog world where you have to be ruthless at times.,"You know that most people are out to ?screw? you, so you have to get them first when you get the chance.",All in all it is better to be humble and honest than important and dishonest.,Honesty is the best policy in all cases.,"Do unto to others as you would have them do unto you, and never do anything unfair to someone else.",One of the most useful skills a person should develop is how to look someone straight in the eye and lie convincingly.,"Money, wealth and luxury are what really count in life.",MPs in Parliament very quickly lose touch with ordinary people.,The differences between ordinary people and the ruling elite are much greater than the differences between ordinary people.,People like me have no influence on what the government does.,The people should have the final say on the most important political issues by voting on them directly in referendums.,The people should be asked whenever important decisions are taken.,Ordinary people all pull together.,Ordinary people are of good and honest character.,Ordinary people share the same values and interests.,"Although the Italian are very different from each other, when it comes down to it they all think the same.",An ideal society requires some groups to be on top and others to be on the bottom.,"To get ahead in life, it is sometimes necessary to step on other groups.",It's probably a good thing that certain groups are at the top and other groups are at the bottom.,Inferior groups should stay in their place.,Group equality should be our ideal.,All groups should be given an equal chance in life.,We should do what we can to equalize conditions for different groups.,Social equality should be increased.,Our country desperately needs a mighty leader who will do what has to be done to destroy the radical new ways and sinfulness that are ruining us.,"The only way our country can get through the crisis ahead is to get back to our traditional values, put some tough leader in power, and silence the troublemakers spreading bad ideas","Our country needs free thinkers, who will have the courage to stand up against traditional ways, even if this upsets many people.","You have to admire those who challenged law and the majority's view by protesting for women's abortion rights, for immigrants rights or to abolish scool prayer.","What our country really needs is a strong, determined leader who will crush evil, and take us back to our true path.",The ?old-fashioned ways? and ?old-fashioned values? still show the best way to live.,"God's laws about abortion, pornography, and marriage must be strictly followed befoe it is too late, and those who break them must be strongly punished.","There are many radical, immoral people trying to ruin things; the society ought to stop them.","Our country will be great if we honor the ways of our forefathers, do what the authority tell us to do, and get rid of the ""rotten apples"" who are ruining everything.",This country would work a lot better if certain groups of troublemakers would just shut up and accept their group's traditional place in society.,"Considering the current Italian political context, how would you define your political orientation?","Personally speaking, how would you define your political orientation?","Which party did you vote for in the last election of March 4, 2018?","If the elections are repeated tomorrow, for which of the parties listed below would you vote?",Which party did you vote for in the 2018 European elections?,The U.S. government did not prevent the 9/11 attacks in order to justify the Afghanistan and Iraq campaigns.,"A cure for cancer already exists, but the pharmaceutical industrial complex keeps it secret in order to maximise its profits selling chemo.","The 2008 financial crisis and the ensuing recession represent the intended result of deliberate actions by banks, financial speculators and multinational corporations.",The financial crises of the last decade have been deliberately caused by political and financial authorities.,"The U.S. government knew in advance about the 9/11 attacks, and deliberately decided not to stop them.",Soft-drinks corporations add addictive substances in their products.,"Infective diseases, such as Ebola, are deliberately spread by governments and pharmaceutical multinationals.",The so-called Islamic State does not really exist; it is a smoke-screen concocted by Western Governmental Agencies.,LGBT groups have a plan to turn people into homosexuals by means of bogus ?gender theories?.,The assassination of judge Giacomini was committed by mafia killers with the political complicity of the Italian Government.,"Vaccines are useless and dangerous, they are only instrumental to the financial interests of pharmaceutical companies.","Groups of powerful people use chemtrails to poison the air, or to manipulate the environment.","Few groups of powerful individuals (Bilderberg Group, Trilateral Commission, the Rotschild family, the Free Masonry, etc.) secretly rule the world.",Attacks in Paris of 11/13 were organized by western governments to justify war in Middle East.,Which of the following alternatives about policies to be adopted for regular immigration is closer to your point of view?
,2,2,37,5,9,3,2,2,5,2,3,1,3,2,6,5,6,3,5,1,3,7,7,7,1,3,1,6,7,5,1,5,7,6,3,7,4,7,2,2,1,4,4,6,7,4,4,4,1,1,3,2,1,6,7,7,7,4,1,6,7,7,4,1,3,4,2,3,3,7,7,1,4,1,4,4,4,1,1,1,1,2,1,1,1,1,3
,2,2,20,4,1,3,4,2,4,5,2,2,5,2,6,5,6,4,5,3,4,7,7,7,3,3,3,4,6,3,2,1,7,5,2,7,5,6,1,3,7,7,5,5,5,5,2,5,2,2,5,3,1,7,7,7,7,4,2,7,7,7,3,1,6,3,1,3,1,7,7,7,2,2,4,3,4,3,1,1,1,3,1,1,3,1,3
,2,2,19,4,1,3,4,4,3,2,3,3,5,2,5,2,5,1,5,4,3,5,5,3,1,5,2,5,4,5,4,3,4,3,3,4,4,5,3,4,5,3,3,5,5,1,2,1,1,3,3,5,4,4,6,5,5,3,1,6,7,3,1,1,3,4,3,2,1,8,4,7,3,1,2,2,2,4,1,1,1,2,1,1,1,1,3
,2,2,19,4,1,4,3,5,3,3,2,2,6,3,4,1,4,1,5,2,6,5,2,3,3,1,5,3,6,2,1,1,7,1,1,7,7,7,1,4,5,3,1,7,1,6,4,5,1,1,1,4,1,7,7,7,7,1,1,7,7,1,1,1,3,1,1,2,1,8,4,7,1,1,4,1,1,4,1,1,1,1,1,1,1,1,4
,1,2,31,4,3,2,2,1,7,5,1,1,7,1,7,7,4,3,7,7,4,3,3,6,3,2,2,6,7,6,1,3,5,5,1,7,7,6,1,2,7,4,7,5,3,2,2,2,2,1,1,1,1,7,7,7,7,1,1,7,7,4,2,1,5,1,1,2,1,9,4,7,5,4,5,5,5,5,3,4,1,5,1,1,3,1,4
,2,1,50,4,3,2,3,3,5,4,3,3,4,3,6,6,4,5,3,4,4,6,5,3,2,5,2,5,3,5,1,1,5,2,2,7,6,6,1,1,6,2,6,2,2,3,3,4,4,2,2,2,2,2,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,4,4,4,4,3,4,4,2,2,3,3,3,3,3,2
,1,2,32,4,3,2,5,2,5,5,3,3,4,3,5,5,4,4,6,6,5,4,6,6,5,5,3,6,7,3,3,2,6,6,1,7,6,7,2,3,5,6,6,6,6,4,4,4,5,2,2,3,2,5,4,4,5,5,5,4,6,5,5,5,5,6,5,3,1,9,3,6,3,3,4,4,2,4,3,2,3,4,2,4,2,2,3
,1,2,56,4,3,3,5,2,5,6,5,3,5,3,4,5,6,3,6,5,6,3,3,5,4,3,4,2,7,4,1,1,6,1,1,6,6,7,1,1,6,6,3,6,3,4,1,6,1,1,1,1,1,7,7,7,7,3,2,3,2,2,2,3,4,2,2,3,4,7,7,1,2,3,4,4,2,2,2,1,1,3,1,1,1,1,2
,2,2,54,4,3,2,3,1,6,4,3,3,4,3,7,7,7,7,7,7,4,4,5,3,4,4,3,7,6,4,3,2,7,1,2,7,7,7,1,1,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7,7,7,7,4,7,5,7,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3
